word_freq_our <= 0.011404561810195446,word_freq_our <= 0.08463385328650475,word_freq_remove <= 0.0013755158288404346,word_freq_remove <= 0.006189821287989616,word_freq_remove <= 0.007565337000414729,word_freq_remove <= 0.022696010768413544,word_freq_remove <= 0.051581842824816704,word_freq_receive <= 0.3601532578468323,word_freq_report <= 0.271484375,word_freq_free <= 0.0012500000302679837,word_freq_free <= 0.009749999735504389,word_freq_free <= 0.013250000309199095,word_freq_free <= 0.042249999940395355,word_freq_free <= 0.1015000008046627,word_freq_business <= 0.013305322267115116,word_freq_your <= 0.0635504238307476,word_freq_000 <= 0.04128440469503403,word_freq_000 <= 0.047706421464681625,word_freq_money <= 0.002051281975582242,word_freq_money <= 0.00564102572388947,word_freq_hp <= 0.005760921631008387,word_freq_hp <= 0.01056169020012021,word_freq_hp <= 0.017282764427363873,word_freq_hp <= 0.018482957035303116,word_freq_george <= 0.00015001499559730291,word_freq_650 <= 0.025302530266344547,word_freq_1999 <= 0.009433962404727936,word_freq_parts <= 0.008403361076489091,word_freq_meeting <= 0.003150315023958683,word_freq_meeting <= 0.04275427386164665,word_freq_re <= 0.023749999701976776,word_freq_re <= 0.03375000134110451,word_freq_edu <= 0.008601346053183079,word_freq_edu <= 0.00934928935021162,word_freq_edu <= 0.0123410620726645,char_freq_! <= 0.002447810838930309,char_freq_! <= 0.006050249328836799,char_freq_! <= 0.006773816188797355,char_freq_! <= 0.011623252648860216,char_freq_! <= 0.015610567294061184,char_freq_! <= 0.016118602827191353,char_freq_! <= 0.023816121742129326,char_freq_! <= 0.025247860699892044,char_freq_$ <= 0.0017491254257038236,char_freq_$ <= 0.0020822922233492136,char_freq_$ <= 0.004414459457620978,char_freq_$ <= 0.006580043351277709,char_freq_$ <= 0.009245377499610186,char_freq_$ <= 0.013409961480647326,char_freq_$ <= 0.024487756192684174,capital_run_length_average <= 0.001171584241092205,capital_run_length_average <= 0.0011788469855673611,capital_run_length_average <= 0.0012705401750281453,capital_run_length_average <= 0.002163413562811911,capital_run_length_average <= 0.0024884248850867152,capital_run_length_longest <= 0.0008510212355758995,capital_run_length_longest <= 0.0017521025147289038,capital_run_length_total <= 0.002136964467354119,capital_run_length_total <= 0.0052181691862642765,capital_run_length_total <= 0.006311499979346991,capital_run_length_total <= 0.006709074601531029,word_freq_business <= 0.13935574889183044,target,split
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,train
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,train
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,train
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,train
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,train
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,train
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,train
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,train
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,train
