date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,target,split
0.0,0.16666666666666666,0.0,0.056443,0.44774772662159507,0.003467,0.422915,0.43255550655695146,1,val
0.0,0.16666666666666666,0.021277,0.051699,0.4231761739543581,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.042553,0.051489,0.39253718104136487,0.003467,0.422915,0.43255550655695146,1,test
0.0,0.16666666666666666,0.06383,0.045485,0.320795384218538,0.003467,0.422915,0.43255550655695146,1,test
0.0,0.16666666666666666,0.085106,0.042482,0.25602946139360466,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.106383,0.041161,0.2115885967604294,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.12766,0.041161,0.175185994418893,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.148936,0.041161,0.15577140911227363,0.003467,0.422915,0.43255550655695146,0,val
0.0,0.16666666666666666,0.170213,0.041161,0.13757010794150543,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.191489,0.041161,0.14333371737004863,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.212766,0.044374,0.17230367992137105,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.234043,0.049868,0.21659364871244044,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.255319,0.051489,0.30456592466015303,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.276596,0.042482,0.39799797921919555,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.297872,0.040861,0.41013184014420745,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.319149,0.040711,0.47125791056158745,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.340426,0.040861,0.49780130484120766,0.003467,0.422915,0.43255550655695146,0,test
0.0,0.16666666666666666,0.361702,0.040711,0.5029582722018252,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.382979,0.041041,0.5430007269509151,0.003467,0.422915,0.43255550655695146,0,test
0.0,0.16666666666666666,0.404255,0.041161,0.5571064294883101,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.425532,0.044374,0.5454272952226172,0.003467,0.422915,0.43255550655695146,1,val
0.0,0.16666666666666666,0.446809,0.044374,0.5269221632346359,0.003467,0.422915,0.43255550655695146,1,test
0.0,0.16666666666666666,0.468085,0.044374,0.5240408683036146,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.489362,0.045485,0.5238889528950081,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.510638,0.044374,0.5152440485354437,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.531915,0.044374,0.5076594933366232,0.003467,0.422915,0.43255550655695146,1,test
0.0,0.16666666666666666,0.553191,0.042482,0.509328523698294,0.003467,0.422915,0.43255550655695146,0,test
0.0,0.16666666666666666,0.574468,0.044374,0.5012892418401544,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.595745,0.044374,0.49931740022777116,0.003467,0.422915,0.43255550655695146,1,test
0.0,0.16666666666666666,0.617021,0.042482,0.4864249818262272,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.638298,0.040861,0.4759591316963853,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.659574,0.041161,0.4874873701199724,0.003467,0.422915,0.43255550655695146,0,test
0.0,0.16666666666666666,0.680851,0.041161,0.4944642636843667,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.702128,0.041161,0.5129683761058473,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.723404,0.042482,0.5637794922354913,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.744681,0.044374,0.6242989205849457,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.765957,0.041041,0.5991207258497832,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.787234,0.040711,0.5575611561476292,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.808511,0.040711,0.5067500400179852,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.829787,0.040861,0.47990281492115183,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.851064,0.041041,0.4550284510032025,0.003467,0.422915,0.43255550655695146,0,test
0.0,0.16666666666666666,0.87234,0.042482,0.4202948790233369,0.003467,0.422915,0.43255550655695146,0,test
0.0,0.16666666666666666,0.893617,0.041161,0.37600491023226745,0.003467,0.422915,0.43255550655695146,0,train
0.0,0.16666666666666666,0.914894,0.051489,0.352494726292275,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.93617,0.056443,0.4127103238245163,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,0.957447,0.054642,0.43728187649175326,0.003467,0.422915,0.43255550655695146,1,val
0.0,0.16666666666666666,0.978723,0.059235,0.45396606270945716,0.003467,0.422915,0.43255550655695146,1,train
0.0,0.16666666666666666,1.0,0.054642,0.4495676528253717,0.003467,0.422915,0.43255550655695146,1,train
4.4e-05,0.33333333333333337,0.0,0.059235,0.45153949443775493,0.003467,0.422915,0.43255550655695146,1,train
4.4e-05,0.33333333333333337,0.021277,0.056443,0.41892967947887916,0.003467,0.422915,0.43255550655695146,1,train
4.4e-05,0.33333333333333337,0.042553,0.051489,0.38631884495350266,0.003467,0.422915,0.43255550655695146,1,train
4.4e-05,0.33333333333333337,0.06383,0.044374,0.322918121673027,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.085106,0.041041,0.26300635495799896,0.003467,0.422915,0.43255550655695146,0,val
4.4e-05,0.33333333333333337,0.106383,0.041161,0.21826165950761056,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.12766,0.041161,0.18231480339189385,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.148936,0.040951,0.15486093622713495,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.170213,0.041011,0.1412099603490588,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.191489,0.041041,0.14485083232311285,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.212766,0.042482,0.1750340790102864,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.234043,0.051489,0.21871638616692954,0.003467,0.422915,0.43255550655695146,1,test
4.4e-05,0.33333333333333337,0.255319,0.051489,0.3083576924763129,0.003467,0.422915,0.43255550655695146,1,train
4.4e-05,0.33333333333333337,0.276596,0.051489,0.400728378308111,0.003467,0.422915,0.43255550655695146,1,test
4.4e-05,0.33333333333333337,0.297872,0.040861,0.40330686198841975,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.319149,0.040861,0.46549430113304424,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.340426,0.040861,0.49704274736467546,0.003467,0.422915,0.43255550655695146,0,train
4.4e-05,0.33333333333333337,0.361702,0.040861,0.4985588427512391,0.003467,0.422915,0.43255550655695146,0,train
