f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,target,split
0,0,0,0,0.25133689839572193,0.2520325203252033,0.0,0.0,0.0,0,0,0,0.0,0.0,0.02,0.0,0.007936507936507936,0.1958041958041958,0.45945945945945943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
0,0,0,0,0.625668449197861,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.3233082706766917,0.6428571428571428,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,test
0,0,0,0,0.518716577540107,0.09756097560975607,0.0,0.0,0.0,0,0,0,0.0,0.04477611940298507,0.02,0.06766917293233082,0.38095238095238093,0.34965034965034963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,val
0,0,0,0,0.0,0.39837398373983735,0.10483870967741937,0.007751937984496138,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22448979591836732,0.282442748091603,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
0,0,0,0,0.010695187165775402,0.3414634146341464,0.016129032258064502,0.0,0.0,0,0,0,0.0,0.0,0.006666666666666667,0.007518796992481203,0.0,0.0,0.0,0.0,0.4081632653061224,0.030534351145038167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,test
0,0,0,0,0.19786096256684488,0.29268292682926833,0.19354838709677413,0.5581395348837209,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03496503496503497,0.6486486486486487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.8108108108108109,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
0,0,0,0,0.5561497326203209,0.0,0.0,0.0,0.0,0,0,0,0.3274336283185841,0.5447761194029851,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
0,0,0,0,0.3636363636363636,0.2682926829268293,0.008064516129032251,0.007751937984496138,0.0,0,0,0,0.0,0.0,0.0,0.42105263157894735,0.047619047619047616,0.0,0.0,0.4387755102040816,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
0,0,0,0,0.1657754010695187,0.1544715447154471,0.0,0.0,0.0,0,0,0,0.008849557522123894,0.007462686567164179,0.013333333333333334,0.022556390977443608,0.007936507936507936,0.07692307692307693,0.3063063063063063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
0,0,0,0,0.2834224598930481,0.024390243902439046,0.15322580645161288,0.0,0.0,0,0,0,0.0,0.0,0.0,0.2932330827067669,0.1349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0,0,0,0,0.1229946524064171,0.6178861788617888,0.08064516129032251,0.015503875968992276,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06993006993006994,0.3153153153153153,0.0,0.4387755102040816,0.12213740458015267,0.042105263157894736,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
0,0,0,0,0.27807486631016043,0.4552845528455286,0.0,0.0,0.0,0,0,0,0.37168141592920356,0.03731343283582089,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.31632653061224486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
