x_minimum,x_maximum,y_minimum,y_maximum,pixels_areas,x_perimeter,y_perimeter,sum_of_luminosity,minimum_of_luminosity,maximum_of_luminosity,length_of_conveyer,typeofsteel_a300,typeofsteel_a400,steel_plate_thickness,edges_index,empty_index,square_index,outside_x_index,edges_x_index,edges_y_index,outside_global_index,logofareas,log_x_index,log_y_index,orientation_index,luminosity_index,sigmoidofareas,target,split
0.024881516587677725,0.02661147250147842,0.020771833686635658,0.02077431539187913,0.00173596326308687,0.0014358188953766634,0.002369015481240703,0.0020679545212197842,0.37438423645320196,0.33023255813953495,0.8112874779541448,1,0,0.15384615384615385,0.050040192926045016,0.2558533742981248,0.1749521024503378,0.005152149412332957,0.4628652597402597,1.0,1.0,0.43531242959837796,0.22828436018957346,0.3859158898255336,0.9115833460734852,0.4312004875076173,0.5257661748013621,1,val
0.3821090047393365,0.3820224719101124,0.19902923041106274,0.19903023841479284,0.000694385305234748,0.0007657700775342204,0.0015977081152553578,0.0009616808113490586,0.41379310344827586,0.39999999999999997,0.8112874779541448,1,0,0.15384615384615385,0.768388263665595,0.4018434156160611,0.20026217606130886,0.0033810980518435025,0.5941558441558441,0.9627932960893855,1.0,0.35480369467712536,0.18092890995260666,0.34339117571089767,0.8987922336034246,0.5017062766605729,0.20363223609534617,1,train
0.4911137440758294,0.4908338261383797,0.1216489842528668,0.12164925514542099,0.0004520055288792228,0.0005743275581506654,0.0009916808991240153,0.0006661971135944587,0.4876847290640394,0.4093023255813954,0.6984126984126986,1,0,0.23076923076923078,0.9756832797427654,0.3629621781968429,0.3277200766360795,0.0035421027209789077,0.7463474025974025,0.9412290502793297,1.0,0.31750875540172446,0.18092890995260666,0.2947613121375068,0.8343780257860673,0.5338817794028031,0.10896708286038592,1,train
0.5053317535545024,0.5056179775280899,0.028514056888003673,0.02851660443492557,0.0011398400293476053,0.001052933856609553,0.0024241088645253705,0.0016172663936080967,0.4876847290640394,0.41395348837209306,0.22222222222222232,0,1,0.9615384615384616,0.7322146302250805,0.4675283398665113,0.1485328224261369,0.0059571727580099805,0.5317573051948051,1.0,1.0,0.3982427755135478,0.20629383886255923,0.3881935802005307,0.9249350252255006,0.5131627056672761,0.4565266742338252,1,val
0.7636255924170616,0.7693672383205205,0.038633748812464674,0.038652948164851604,0.015767787072641874,0.005551833062123097,0.014269186270728885,0.021281728047329848,0.18226600985221675,0.41395348837209306,0.22222222222222232,0,1,0.5576923076923077,0.06983520900321545,0.47526220997987073,0.058384592114550764,0.017871518274029944,0.27282873376623373,0.987150837988827,1.0,0.6309623773731746,0.3524170616113744,0.5658769107943739,0.9704938082861947,0.4873248019500305,1.0,1,train
0.254739336492891,0.25783560023654645,0.007354443727120559,0.00736032846408289,0.0041139053932775635,0.0017229826744519958,0.004738030962481405,0.005358133143487574,0.31527093596059114,0.4186046511627907,0.2821869488536155,0,1,0.0,0.6229903536977492,0.36200868736094927,0.11908843400221843,0.010304298824665915,0.5434253246753247,1.0,1.0,0.5116636287300059,0.2807203791469195,0.45542066827905225,0.9398155226010294,0.47056672760511886,0.9856980703745744,1,test
0.24466824644549764,0.2607924305144885,0.010359341526550667,0.010391010324257642,0.059284783135608206,0.021824447209725283,0.023745248195691696,0.1278336670933135,0.11330049261083744,0.7534883720930232,0.8112874779541448,0,1,0.42307692307692313,0.4919614147909968,0.35914821485326837,0.07179590601996573,0.029141845113508282,0.13098620129870128,0.9560893854748604,1.0,0.748704610154218,0.46161137440758304,0.6147650691525584,0.9637160474952862,0.7787934186471663,1.0,1,train
0.11255924170616115,0.1153163808397398,0.016057152341588114,0.01605775482974135,0.0008516046196275212,0.000861491337225998,0.0010467742824086827,0.0017044880048285055,0.6108374384236454,0.627906976744186,0.8112874779541448,0,1,0.42307692307692313,0.22638665594855306,0.3602076491153724,0.49581526671372395,0.007084205441957815,0.9077719155844155,1.0,1.0,0.37266266614782806,0.2650236966824645,0.30549228637847226,0.7494266931661826,0.720901889092017,0.2461975028376844,1,test
0.19549763033175357,0.19988172678888233,0.033220325336914866,0.033221371236905974,0.0017163108487877735,0.0012443763759931081,0.0013773345821166878,0.0025448695230263327,0.26108374384236455,0.5162790697674418,0.8112874779541448,0,1,0.42307692307692313,0.39308681672025725,0.2319101599745736,0.49581526671372395,0.009982289486395103,0.864752435064935,1.0,1.0,0.4343088864767445,0.3082085308056872,0.33226101862070584,0.7494266931661826,0.5357708714198659,0.4997729852440409,1,test
0.04383886255924171,0.05026611472501479,0.06073261858311261,0.06074446931617419,0.009852410368613784,0.004211735426438212,0.009145501625254807,0.01552605070552017,0.26108374384236455,0.4930232558139535,0.8112874779541448,0,1,0.42307692307692313,0.08812299035369775,0.4514249390825299,0.09004739336492892,0.012880373530832392,0.3382711038961038,0.9798882681564245,1.0,0.589182214758228,0.3424075829383887,0.5200648085096391,0.9544921775467563,0.569043266301036,1.0,1,train
0.0627962085308057,0.06682436428149024,0.06343009186017703,0.06343281763151419,0.0028823540972008413,0.001052933856609553,0.0025893890143793732,0.004325967607739827,0.37438423645320196,0.4930232558139535,0.8112874779541448,0,1,0.42307692307692313,0.12630627009646303,0.2464244093653989,0.24372290007058586,0.009016261471582673,0.9219764610389609,1.0,1.0,0.4801441825219653,0.29505213270142183,0.3947683565407284,0.8768282117922845,0.5421084704448507,0.8424517593643587,1,train
