estimate_of_risk,months_since_first_trade,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,percentage_of_legal_trades,months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,maximum_illegal_trades,nr_total_trades,nr_trades_initiated_in_last_year,percentage_of_installment_trades,months_since_last_inquiry_not_recent,nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,net_fraction_of_revolving_burden,net_fraction_of_installment_burden,nr_revolving_trades_with_balance,nr_installment_trades_with_balance,nr_banks_with_high_ratio,percentage_trades_with_balance,target,split
0.6213592233009708,0.25,0.033163265306122444,0.23724489795918366,0.3295454545454546,0.42857142857142855,0.3214285714285714,0.8440366972477065,0.11956521739130434,0.6666666666666666,0.8235294117647058,0.2831858407079646,0.3571428571428571,0.47706422018348627,0.2727272727272727,0.12000000000000001,0.12000000000000001,0.17427385892116184,0.004878048780487802,0.41463414634146345,0.3571428571428571,0.37037037037037035,0.7155963302752293,1,train
0.6796116504854368,0.10947712418300654,0.06122448979591836,0.12755102040816324,0.125,0.46428571428571425,0.46428571428571425,1.0,0.021739130434782594,0.5,1.0,0.1415929203539823,0.3214285714285714,0.6972477064220184,0.2727272727272727,0.12000000000000001,0.12000000000000001,0.03734439834024896,0.004878048780487802,0.21951219512195122,0.0357142857142857,0.037037037037037035,0.08256880733944955,1,train
0.7378640776699028,0.12254901960784315,0.03571428571428571,0.08418367346938775,0.20454545454545456,0.3214285714285714,0.3214285714285714,1.0,0.021739130434782594,0.8888888888888888,1.0,0.1592920353982301,0.46428571428571425,0.48623853211009177,0.2727272727272727,0.17333333333333334,0.17333333333333334,0.2572614107883817,0.36585365853658536,0.3170731707317073,0.3928571428571428,0.37037037037037035,0.871559633027523,1,train
0.7281553398058251,0.2908496732026144,0.02551020408163265,0.20918367346938774,0.42045454545454547,0.3571428571428571,0.3571428571428571,0.9357798165137614,0.9239130434782609,0.8333333333333333,0.8823529411764706,0.34513274336283184,0.42857142857142855,0.6055045871559632,0.2727272727272727,0.18666666666666668,0.17333333333333334,0.33609958506224064,0.44878048780487806,0.36585365853658536,0.46428571428571425,0.4444444444444444,0.9174311926605505,1,train
0.8737864077669902,0.5588235294117647,0.09183673469387754,0.3596938775510204,0.23863636363636365,0.3214285714285714,0.3214285714285714,1.0,0.021739130434782594,0.8888888888888888,1.0,0.18584070796460178,0.3214285714285714,0.3119266055045872,0.2727272727272727,0.13333333333333333,0.13333333333333333,0.24896265560165975,0.47804878048780486,0.29268292682926833,0.3571428571428571,0.3333333333333333,0.8165137614678899,1,train
0.6601941747572815,0.238562091503268,0.0510204081632653,0.22193877551020405,0.4545454545454546,0.3214285714285714,0.3214285714285714,0.9174311926605505,0.10869565217391303,0.7222222222222222,0.8823529411764706,0.36283185840707965,0.3571428571428571,0.5137614678899083,0.2727272727272727,0.12000000000000001,0.12000000000000001,0.29460580912863066,0.4975609756097561,0.5121951219512195,0.46428571428571425,0.4444444444444444,0.9449541284403671,1,train
0.6116504854368932,0.1584967320261438,0.04081632653061224,0.1173469387755102,0.3863636363636364,0.3214285714285714,0.3214285714285714,0.926605504587156,0.19565217391304346,0.7222222222222222,0.8823529411764706,0.30973451327433627,0.42857142857142855,0.6146788990825689,0.2727272727272727,0.17333333333333334,0.17333333333333334,0.4066390041493776,0.4146341463414634,0.3902439024390244,0.5714285714285714,0.4074074074074074,1.0,0,train
0.7475728155339805,0.2565359477124183,0.04081632653061224,0.18877551020408162,0.29545454545454547,0.3214285714285714,0.3214285714285714,0.8440366972477065,0.43478260869565216,0.8333333333333333,0.8823529411764706,0.23893805309734512,0.3571428571428571,0.48623853211009177,0.2727272727272727,0.12000000000000001,0.12000000000000001,0.15352697095435686,0.27804878048780485,0.2682926829268293,0.3928571428571428,0.4074074074074074,0.44954128440366975,0,train
0.6601941747572815,0.5441176470588235,0.028061224489795915,0.37499999999999994,0.375,0.3214285714285714,0.3214285714285714,0.8623853211009174,0.15217391304347824,0.7222222222222222,0.8823529411764706,0.3185840707964602,0.3571428571428571,0.3211009174311927,0.2727272727272727,0.13333333333333333,0.13333333333333333,0.31950207468879666,0.004878048780487802,0.3902439024390244,0.3571428571428571,0.4444444444444444,0.9082568807339451,1,train
0.6796116504854368,0.14379084967320263,0.033163265306122444,0.11479591836734693,0.3181818181818182,0.3214285714285714,0.3214285714285714,0.9541284403669725,0.15217391304347824,0.7222222222222222,0.8823529411764706,0.24778761061946902,0.42857142857142855,0.3211009174311927,0.2727272727272727,0.2,0.2,0.16597510373443983,0.46341463414634143,0.3414634146341463,0.42857142857142855,0.37037037037037035,0.6513761467889909,1,train
