checking_account_status,account_life_in_months,credit_status,current_credit,current_savings,employed_since,installment_rate_percentage,CAT_is_male,marital_status,guarantors,years_living_in_current_residence,age,installment_plans,housing_status,nr_credit_accounts_in_bank,job_status,number_of_people_in_support,has_registered_phone_number,CAT_is_foreign,CAT_loan_purpose_business,CAT_loan_purpose_domestic appliances,CAT_loan_purpose_education,CAT_loan_purpose_furniture/equipment,CAT_loan_purpose_new car,CAT_loan_purpose_others,CAT_loan_purpose_radio/television,CAT_loan_purpose_repairs,CAT_loan_purpose_retraining,CAT_loan_purpose_used car,target,split
0.3333333333333333,0.03571428571428571,1.0,0.05699151190248261,0.0,1.0,1.0,0,0.5,0.0,1.0,0.8571428571428572,1.0,1.0,0.3333333333333333,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,train
0.6666666666666666,0.7857142857142857,0.5,0.3621801008360457,0.25,0.5,0.3333333333333333,1,0.0,0.0,0.3333333333333333,0.0535714285714286,1.0,1.0,0.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,1,test
0.0,0.14285714285714285,1.0,0.1161529133958772,0.25,0.75,0.3333333333333333,0,0.5,0.0,0.6666666666666667,0.5357142857142858,1.0,1.0,0.0,0.3333333333333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,test
0.3333333333333333,0.6785714285714286,0.5,0.4854170655434297,0.25,0.75,0.3333333333333333,0,0.5,1.0,1.0,0.46428571428571425,1.0,0.0,0.0,0.6666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,train
0.3333333333333333,0.3571428571428571,0.75,0.29319037590146146,0.25,0.5,0.6666666666666667,0,0.5,0.0,1.0,0.6071428571428572,1.0,0.0,0.3333333333333333,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,0,1,train
0.0,0.5714285714285714,0.5,0.5602782564298934,0.0,0.5,0.3333333333333333,0,0.5,0.0,1.0,0.28571428571428575,1.0,0.0,0.0,0.3333333333333333,1,1,0,0,0,1,0,0,0,0,0,0,0,0,train
0.0,0.3571428571428571,0.5,0.16331610185717021,0.75,1.0,0.6666666666666667,0,0.5,0.0,1.0,0.6071428571428572,1.0,1.0,0.0,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,test
0.6666666666666666,0.5714285714285714,0.5,0.4258089220754356,0.25,0.5,0.3333333333333333,0,0.5,0.0,0.3333333333333333,0.28571428571428575,1.0,0.5,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,train
0.0,0.14285714285714285,0.5,0.17761184504435507,1.0,0.75,0.3333333333333333,0,0.0,0.0,1.0,0.75,1.0,1.0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,val
0.6666666666666666,0.4642857142857143,1.0,0.3164209585806369,0.25,0.0,1.0,0,1.0,0.0,0.3333333333333333,0.16071428571428575,1.0,1.0,0.3333333333333333,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
0.6666666666666666,0.14285714285714285,0.5,0.0650328674452741,0.25,0.25,0.6666666666666667,1,0.0,0.0,0.0,0.10714285714285715,1.0,0.5,0.0,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
0.3333333333333333,0.7857142857142857,0.5,0.257323377369328,0.25,0.25,0.6666666666666667,1,0.0,0.0,1.0,0.0892857142857143,1.0,0.5,0.0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1,test
0.6666666666666666,0.14285714285714285,0.5,0.08239198417257004,0.25,0.5,0.0,1,0.0,0.0,0.0,0.0535714285714286,1.0,1.0,0.0,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,train
0.3333333333333333,0.3571428571428571,1.0,0.05890612036505201,0.25,1.0,1.0,0,0.5,0.0,1.0,0.7321428571428572,1.0,1.0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,1,test
0.3333333333333333,0.19642857142857142,0.5,0.07192545791052396,0.25,0.5,0.3333333333333333,1,0.0,0.0,1.0,0.16071428571428575,1.0,0.5,0.0,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,train
0.3333333333333333,0.3571428571428571,0.5,0.06420320377816069,0.5,0.5,1.0,1,0.0,0.0,0.3333333333333333,0.23214285714285715,1.0,1.0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,train
0.0,0.3571428571428571,1.0,0.13708596591996935,0.0,1.0,1.0,0,0.5,0.0,1.0,0.6071428571428572,1.0,1.0,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0,train
0.3333333333333333,0.4642857142857143,0.0,0.49754291913970256,0.0,0.25,0.3333333333333333,0,0.5,0.0,0.6666666666666667,0.10714285714285715,0.0,1.0,0.6666666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,train
0.6666666666666666,0.3571428571428571,0.5,0.7851809304997127,0.25,1.0,1.0,1,0.0,0.0,0.3333333333333333,0.44642857142857145,1.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,train
0.0,0.3571428571428571,0.5,0.20128916969813004,0.75,1.0,0.6666666666666667,0,0.5,0.0,0.3333333333333333,0.21428571428571425,1.0,1.0,0.0,0.6666666666666666,1,1,0,0,0,0,0,0,0,1,0,0,0,0,train
0.0,0.08928571428571427,1.0,0.11857808411513178,0.25,0.5,1.0,0,0.5,0.0,1.0,0.5178571428571428,1.0,1.0,0.6666666666666667,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,train
