major_axis_length,minor_axis_length,log_of_sum_of_content,ratio_of_sum_of_highest_pixels_and_size,ratio_of_highest_pixel_and_size,projected_distance_highest_to_center_pixel,third_root_of_third_moment_along_major_axis,third_root_of_third_moment_along_minor_axis,angle_major_axis_to_origin,distance_origin_to_center,target,split
0.07239362592177902,0.07017279976846015,0.19608608218026835,0.4324046585978534,0.2932286264631797,0.4700317512307909,0.6281510441634441,0.5124930751010316,0.4454666666666667,0.17328710635330014,1,val
0.0818059910648088,0.05141017854441245,0.15814749227121294,0.5905457867092944,0.5586012742628538,0.4686493860370468,0.6313696455774414,0.5079442233575125,0.07067666666666667,0.43854514870404776,1,train
0.5192380239566136,0.5965264637330977,0.6211843803463699,0.027746060744462214,0.027263298266409837,0.5562147972118076,0.47391633198751476,0.41654048249922165,0.855111111111111,0.549326073925902,1,train
0.055695890972291384,0.04197887637394563,0.10412101929945672,0.6869148207353277,0.5806786190546747,0.4695577670301352,0.5775953169775543,0.5152187049654734,0.11610000000000001,0.24822219909822127,1,train
0.2277836628113828,0.1355933318277396,0.35102200078038237,0.3467686686458096,0.27100311157208473,0.4378700309575468,0.6397653872512987,0.5903733988479976,0.051644444444444444,0.7636210637479972,1,test
0.14894030832210817,0.09274837362989145,0.27520485037668463,0.2613610413336378,0.19810342272929324,0.4924636802467931,0.6657517586190977,0.559200530297551,0.04014444444444445,0.5091433446306499,1,train
0.13761555875459944,0.07611214772944043,0.312633190263229,0.2738068052066682,0.22403319010223735,0.4515182013030355,0.6567092073164236,0.5612026264971975,0.05324444444444444,0.46827047857222087,1,train
0.06566356185036186,0.060338495473352086,0.16823243389260734,0.46871431833752,0.3216772855237813,0.4719031999789383,0.6253901630961638,0.5261639987172897,0.009022222222222223,0.5070707843823554,1,train
0.29852646135779626,0.20398529195727916,0.6490380286340307,0.07398949531856588,0.057341828419025034,0.5500337412481823,0.740073434109931,0.6457080402970143,0.05393333333333333,0.5309181269903243,1,train
0.13263625026449116,0.06665234160021224,0.17618633130233818,0.3706325645124458,0.283004889613276,0.4671806835128995,0.6669740033308121,0.5164373834886559,0.08750000000000001,0.21707789644594616,1,train
0.18633827173161832,0.1311638166362259,0.4026472971756161,0.2676410139301211,0.18639798488664985,0.41040198351305435,0.6913118357462191,0.5953811021094986,0.11016000000000001,0.6918812397178221,1,train
0.03906019198958065,0.0721807940325866,0.13413572650598793,0.5881479789906371,0.4341383908727218,0.4675408418160728,0.5774589596360963,0.4898615849768384,0.12734444444444445,0.34735894765538394,1,train
0.12884769700694904,0.09958844668773037,0.3159047933487409,0.2377255081068737,0.1795821603200474,0.4254121929991653,0.5524199877136353,0.496644032584161,0.004246666666666667,0.38048336232911045,1,test
0.0870981620252027,0.054664015067631126,0.1512441096137107,0.5212377255081069,0.3569417691509853,0.4267329024984397,0.5498748282217085,0.5125511444456802,0.46587777777777784,0.08621119646925171,1,train
0.17856332078194825,0.14517767833063275,0.3610168982801574,0.5192966430691939,0.3646466143132316,0.4570614063615513,0.5289235582164176,0.6084998484753038,0.09213333333333333,0.7982482995976136,1,train
